,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.7671229,0.871730568,2,0,31,13,0,2,1,0,0,1,1,1,2,1,1,2,1,0,0,1,3,2,3,4,3,3,0,3000,1,1,0,3,0.043,0.466
0.6816893,0.210397932,5,1,35,8,1,4,2,1,1,4,2,2,3,2,3,6,0,1,0,4,1,2,1,2,0,3,1,2000,4,0,1,3,0.071,0.1644
0.8174114,0.346360763,5,1,29,10,1,3,0,0,0,3,2,3,3,2,3,7,1,0,1,1,2,1,1,4,0,2,1,1500,3,1,1,3,0.045,0.247
0.6806412,0.233096301,7,0,28,12,0,1,1,0,1,0,1,2,4,3,3,3,1,2,0,3,4,4,1,2,0,3,1,3000,4,0,1,2,0.007,0.378
0.7519411,0.39996867,1,1,54,11,1,5,1,1,0,4,0,3,4,3,4,4,2,1,0,1,0,2,0,3,0,3,1,2500,2,1,1,3,0.011,0.206
0.7376897,0.83828375,4,1,32,7,0,1,1,0,0,2,2,1,3,0,1,3,2,0,0,4,3,3,0,4,2,4,1,1500,1,0,1,2,0.025,0.362
0.6233827,0.117177199,1,1,56,7,1,6,1,1,0,1,0,3,1,3,4,3,0,0,0,4,1,3,0,2,2,4,1,3000,6,0,0,3,0.047,0.119
0.6598945,0.158628486,2,0,48,7,0,5,1,1,0,4,1,1,2,3,2,3,2,0,0,3,3,2,0,4,4,0,1,2500,5,0,0,1,0.06,0.322
0.7556968,0.222263765,6,1,56,8,1,7,1,1,0,1,2,3,4,0,1,4,2,0,1,4,0,2,0,4,3,3,1,3500,4,0,1,3,0.024,0.426
